word	frequency
the	192341
we	122419
is	105890
to	98082
for	91131
and	73325
of	60076
=	57343
so	56994
that	53953
if	53220
So	52306
But	47732
a	46213
in	46008
can	40036
be	39422
then	38904
from	36875
have	32195
are	30545
each	28868
need	27990
but	27866
with	23549
which	23493
it	22410
-	22259
not	22022
at	20987
+	19783
all	19276
i	18419
number	18094
might	15944
I	15916
1	15766
has	14857
must	14024
For	13330
since	13200
because	12859
n	12264
only	12152
one	12140
k	12094
after	12042
Then	11689
when	11672
by	11598
set	11297
test	11216
there	10826
on	10618
value	10305
or	10292
use	10193
*	10111
sum	9388
<=	9215
as	9203
compute	8992
than	8856
two	8601
first	8550
2	8306
no	8256
values	8253
If	8247
{	8197
}	8044
x	7823
<	7619
this	7595
an	7552
i,	7540
where	7509
total	7113
array	7075
0	7070
choose	7061
j	7058
S	6976
So,	6879
>	6846
between	6619
>=	6616
We	6569
Let	6390
The	6381
such	6281
will	6226
any	6215
find	6096
1,	6017
over	6014
m	5877
Now,	5870
index	5801
->	5748
add	5661
should	5651
output	5606
L	5552
left	5340
a_i	5318
Since	5232
example,	5216
int	5213
In	5166
would	5062
node	5061
path	4966
//	4965
n,	4856
up	4773
some	4771
wait,	4697
they	4582
b	4541
do	4470
maximum	4455
cannot	4438
me	4420
case,	4382
Actually,	4327
3	4318
Let's	4256
v	4231
s	4194
least	4193
k,	4162
consider	4153
get	4140
problem	4100
same	4070
about	4064
want	4062
1.	4047
multiple	4032
other	4003
last	3969
check	3897
2,	3879
segment	3779
large	3772
how	3766
indices	3723
size	3721
less	3718
From	3715
both	3665
always	3651
elements	3642
A	3638
right	3599
largest	3591
note:	3590
what	3578
small	3553
This	3539
take	3518
==	3425
remove	3378
mod	3350
smallest	3317
tree	3281
element	3278
most	3273
new	3240
know	3210
u	3195
condition	3181
row	3176
r	3165
even	3162
let	3152
move	3117
second	3087
4	3049
points	2969
nodes	2952
note	2920
correct.	2915
d	2915
may	2912
don't	2907
many	2892
operations	2889
large,	2881
before	2873
greater	2870
length	2846
long	2846
x,	2841
B	2841
M	2819
XOR	2816
cases	2814
distance	2805
let's	2801
code	2792
max	2775
3,	2769
<<	2750
else	2708
list	2703
case	2700
becomes	2697
edges	2692
its	2683
think	2669
string	2667
without	2664
edge	2663
Alice	2656
numbers	2649
However,	2645
moves	2645
c	2635
possible	2596
include	2571
pair	2563
2.	2554
0,	2548
odd	2539
j,	2536
current	2528
means	2482
Perhaps	2472
y	2467
T	2464
